Taxon,Clade,TrophicLevel,BodyMass,R,BETA,M,IsCst,DDModel,DDData
Accipiter_gentilis,Bird,Predator,1030,NA,NA,0.04545,0,1.4,8.70954692556634
Accipiter_nisus,Bird,Predator,200,NA,NA,0.0495,0,12.92,30.7859078590786
Aegolius_funereus,Bird,Predator,110,NA,NA,0.06289,0,115.67,329.917355371901
Aquila_pomarina,Bird,Predator,1350,NA,NA,0.03831,0,0.61,7.02020202020202
Asio_otus,Bird,Predator,290,NA,NA,0.03597,0,36.8,144.827586206897
Buteo_buteo,Bird,Predator,810,NA,NA,0.03472,0,0.29,1.77271288382399
Canis_lupus,Mammal,Predator,32000,NA,NA,0.04854,0,0.61,1.79347826086956
Falco_subbuteo,Bird,Predator,235,NA,NA,0.06711,0,46.71,93.8625204582652
Glaucidium_passerinum,Bird,Predator,65,NA,NA,0.16667,0,297,356.623931623932
Lutra_lutra,Mammal,Predator,6000,NA,NA,0.05495,0,5.44,9.88709677419355
Lynx_lynx,Mammal,Predator,18400,NA,NA,0.04219,0,0.4,2.16097308488613
Martes_martes,Mammal,Predator,1050,NA,NA,0.05495,0,0.69,2.68443997317237
Meles_meles,Mammal,Predator,13200,NA,NA,0.05376,0,0.41,2.63678451178451
Mustela_erminea,Mammal,Predator,230,NA,NA,0.08,0,20.85,33.4347826086957
Mustela_nivalis,Mammal,Predator,70,NA,NA,0.10989,0,21.47,11.6071428571429
Mustela_putorius,Mammal,Predator,725,NA,NA,0.09009,0,1.6,5.08266414737837
Mustela_vison,Mammal,Predator,825,NA,NA,0.08772,0,7.09,23.3241505968779
Nyctereutes_procyonoides,Mammal,Predator,5900,NA,NA,0.06024,0,0.17,1.44216473386857
Pernis_apivorus,Bird,Predator,780,NA,NA,0.03448,0,1.41,5.09157509157509
Strix_aluco,Bird,Predator,490,NA,NA,0.04464,0,0.41,1.43195399706844
Vulpes_vulpes,Mammal,Predator,6100,NA,NA,0.04695,0,0.49,2.43535575460537
Abramis_brama,Fish,Prey,280,1.65986,0.05924,NA,0,NA,NA
Acrocephalus_sp.,Passerine,Prey,12,4.73748,3.76421,NA,0,NA,NA
Aegithalos_caudatus,Passerine,Prey,9,5.09075,4.24807,NA,0,NA,NA
Alauda_arvensis,Passerine,Prey,37,3.57513,1.79574,NA,0,NA,NA
Anas_sp.,Anseriforme,Prey,1000,1.56799,0.01022,NA,0,NA,NA
Anguis_fragilis,Reptile,Prey,30,2.99779,0.0154,NA,0,NA,NA
Anthus_sp.,Passerine,Prey,20,4.16951,1.45787,NA,0,NA,NA
Apodemus_agrarius,Rodent,Prey,17,13.97288,0.83871,NA,0,NA,NA
